Commodity_Name,City,Date,Low_Price,High_Price,Origin,Item_Size
ORANGES,ATLANTA,01/20/2019,20.00,23.00,FLORIDA,56s
ORANGES,ATLANTA,01/20/2019,20.00,22.00,FLORIDA,80s
ORANGES,ATLANTA,01/20/2019,16.00,17.50,FLORIDA,125s
ORANGES,ATLANTA,01/20/2019,19.00,22.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/20/2019,25.00,28.50,CALIFORNIA,113s
ORANGES,ATLANTA,01/07/2019,34.00,35.00,CALIFORNIA,56s
ORANGES,ATLANTA,01/07/2019,35.00,37.00,CALIFORNIA,88s
ORANGES,ATLANTA,01/07/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/07/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,01/27/2019,20.00,23.00,FLORIDA,56s
ORANGES,ATLANTA,01/27/2019,20.00,22.00,FLORIDA,80s
ORANGES,ATLANTA,01/27/2019,16.00,17.50,FLORIDA,125s
ORANGES,ATLANTA,01/27/2019,19.00,22.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/27/2019,25.00,28.50,CALIFORNIA,113s
ORANGES,ATLANTA,01/24/2019,21.25,21.25,CALIFORNIA,113s
ORANGES,ATLANTA,01/24/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/24/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,01/03/2019,34.00,35.00,CALIFORNIA,56s
ORANGES,ATLANTA,01/03/2019,35.00,37.00,CALIFORNIA,88s
ORANGES,ATLANTA,01/03/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/03/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,02/01/2019,21.25,21.25,CALIFORNIA,113s
ORANGES,ATLANTA,02/01/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,02/12/2019,21.25,21.25,CALIFORNIA,113s
ORANGES,ATLANTA,02/01/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,02/12/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,02/12/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,01/04/2019,34.00,35.00,CALIFORNIA,56s
ORANGES,ATLANTA,01/04/2019,35.00,37.00,CALIFORNIA,88s
ORANGES,ATLANTA,01/04/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/04/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,02/08/2019,21.25,21.25,CALIFORNIA,113s
ORANGES,ATLANTA,02/08/2019,32.00,33.50,CALIFORNIA,72s
ORANGES,ATLANTA,02/08/2019,34.00,34.00,CALIFORNIA,113s
ORANGES,ATLANTA,01/05/2019,20.00,23.00,FLORIDA,56s
ORANGES,ATLANTA,01/05/2019,20.00,22.00,FLORIDA,80s
ORANGES,ATLANTA,01/05/2019,16.00,17.50,FLORIDA,125s
ORANGES,ATLANTA,01/05/2019,19.00,22.50,CALIFORNIA,72s
ORANGES,ATLANTA,01/05/2019,25.00,28.50,CALIFORNIA,113s
ORANGES,ATLANTA,02/17/2019,20.00,23.00,FLORIDA,56s
ORANGES,ATLANTA,02/17/2019,20.00,22.00,FLORIDA,80s
ORANGES,ATLANTA,02/17/2019,16.00,17.50,FLORIDA,125s
ORANGES,ATLANTA,02/17/2019,19.00,22.50,CALIFORNIA,72s
ORANGES,ATLANTA,02/17/2019,25.00,28.50,CALIFORNIA,113s
ORANGES,ATLANTA,01/13/2019,20.00,23.00,FLORIDA,56s
ORANGES,ATLANTA,01/13/2019,20.00,22.00,FLORIDA,80s
ORANGES,ATLANTA,01/13/2019,16.00,17.50,FLORIDA,125s
