City,Marketname,Latitude,Longitude,Address
Atlanta,Peachtree Road Farmers Market,33.8312225,-84.38624589999999,"2744 Peachtree Rd NW, Atlanta, GA 30305, United States"
Baltimore,Baltimore Farmers' Market & Bazaar,39.2926063,-76.61072539999999,"E Saratoga St & Holliday St, Baltimore, MD 21202, United States"
Boston,East Boston Farmers' Market,42.3768156,-71.0392593,"Central Square Park, 201 Border St, Boston, MA 02128, United States"
Chicago,Logan Square Farmers Market,41.924286,-87.699289,"2363 N Milwaukee Ave, Chicago, IL 60647, United States"
Columbia,Columbia Farmers Market,38.9581722,-92.3645985,"1769 W Ash St, Columbia, MO 65203, United States"
Detroit,Northwest Detroit Farmers' Market,42.4068148,-83.2236095,"18445 Scarsdale St, Detroit, MI 48223, United States"
Los Angeles,The Original Farmers Market,34.0720115,-118.3603699,"6333 W 3rd St, Los Angeles, CA 90036, United States"
MiaMi,Legion Park Farmers Market,25.8364308,-80.1839536,"6601 Biscayne Blvd #6229, Miami, FL 33138, United States"
New York,Hak Farmer Market,40.596646,-73.978116,"167 Avenue U, Brooklyn, NY 11223, United States"
Philadelphia,Clark Park Farmers' Market,39.9488722,-75.2091354,"4300-4398 Baltimore Ave, Philadelphia, PA 19104, United States"
